"어린이집 유형","어린이집 규모","현재 담당하고 있는 반별 영유아 수(현원) - 0세","현재 담당하고 있는 반별 영유아 수(현원) - 1세","현재 담당하고 있는 반별 영유아 수(현원) - 2세","현재 담당하고 있는 반별 영유아 수(현원) - 0~1세","현재 담당하고 있는 반별 영유아 수(현원) - 1~2세","현재 담당하고 있는 반별 영유아 수(현원) - 3세","현재 담당하고 있는 반별 영유아 수(현원) - 2~3세","현재 담당하고 있는 반별 영유아 수(현원) - 4세","현재 담당하고 있는 반별 영유아 수(현원) - 5세","현재 담당하고 있는 반별 영유아 수(현원) - 3~5세","현재 담당하고 있는 반별 영유아 수(현원) - 장애아반","현재 담당하고 있는 반별 영유아 수(현원) - 누리장애아반","현재 담당하고 있는 반별 영유아 수(현원) - 시간제보육","현재 담당하고 있는 반별 영유아 수(현원) - 시간연장 아침보육","현재 담당하고 있는 반별 영유아 수(현원) - 시간연장 야간보육","현재 담당하고 있는 반별 영유아 수(현원) - 기타","담임교사 여부","하루 기준 근무시간 - 보육시간(시)","하루 기준 근무시간 - 보육시간(분)","하루 기준 근무시간 - 보육준비/기타 업무(시)","하루 기준 근무시간 - 보육준비/기타 업무(분)","하루 기준 근무시간 - 점심식사(시)","하루 기준 근무시간 - 점심식사(분)","하루 기준 근무시간 - 휴식시간(시)","하루 기준 근무시간 - 휴식시간(분)","하루 기준 근무시간 - 1일 총 근로시간 합(시)","하루 기준 근무시간 - 1일 총 근로시간 합(분)","주당 총 근로시간(시)","주당 총 근로시간(분)","토요근무 여부","휴일근무 여부","토요근무 횟수","휴일근무 횟수","토요근무 시간","휴일근무 시간","보육교사를 위한 별도의 편의공간 및 시설(복수응답)","보육교사를 위한 별도의 편의공간 및 시설(복수응답)","보육교사를 위한 별도의 편의공간 및 시설(복수응답)","보육교사를 위한 별도의 편의공간 및 시설(복수응답)","보육교사를 위한 별도의 편의공간 및 시설(복수응답)","보육교사를 위한 별도의 편의공간 및 시설(복수응답)","보육교사를 위한 별도의 편의공간 및 시설(복수응답)","초과근무 및 시간외 수당 지불 여부","초과근무 시 시간외 수당 지불 방식","2014년 동안 사용한 휴가 - 연월차 휴가","2014년 동안 사용한 휴가 - 기타","산전·후 휴가 이용 가능 여부","육아휴직 이용 가능 여부","어린이집 임용 시 복무규정 내용 안내 여부","근로계약서 작성 여부","근로계약서 작성 시 임금, 근로시간, 기타 근로조건 등 기재 여부","최저임금법 규정 적용 여부","보육교사가 전액 부담하는 보험(복수응답)","보육교사가 전액 부담하는 보험(복수응답)","보육교사가 전액 부담하는 보험(복수응답)","보육교사가 전액 부담하는 보험(복수응답)","보육교사가 전액 부담하는 보험(복수응답)","보수교육 경험 여부(2014년)","보수교육별 교육 현황 및 횟수 - 일반 직무","보수교육별 교육 현황 및 횟수 - 영아 보육","보수교육별 교육 현황 및 횟수 - 장애아 보육","보수교육별 교육 현황 및 횟수 - 방과후 보육","보수교육별 교육 현황 및 횟수 - 2급 보육교사","보수교육별 교육 현황 및 횟수 - 1급 보육교사","보수교육별 교육 현황 및 횟수 - 기타","보수교육 형태(복수응답)","보수교육 형태(복수응답)","보수교육 형태(복수응답)","보수교육 형태(복수응답)","보수교육 시 대체인력 지원 여부","현행 보수교육 만족도","현행 보수교육 중 만족스러운 부분","현행 보수교육 중 불만족스러운 부분","보육교사의 현재 근무하는 어린이집 근무 만족도 - 일에 대한 보람","보육교사의 현재 근무하는 어린이집 근무 만족도 - 급여 수준","보육교사의 현재 근무하는 어린이집 근무 만족도 - 근무공간","보육교사의 현재 근무하는 어린이집 근무 만족도 - 근무하는 사람과의 관계","보육교사의 현재 근무하는 어린이집 근무 만족도 - 근무환경(전반)","보육교사의 현재 근무하는 어린이집 근무 만족도 - 근로시간","보육교사의 현재 근무하는 어린이집 근무 만족도 - 보육교사에 대한 사회적 인식","보육교사의 현재 어린이집 근무 어려움 - 담당 영유아와의 상호작용","보육교사의 현재 어린이집 근무 어려움 - 담당 영유아 부모와의 관계","보육교사의 현재 어린이집 근무 어려움 - 보육프로그램 운영","보육교사의 현재 어린이집 근무 어려움 - 행정/사무 등의 업무 처리","보육교사의 현재 어린이집 근무 어려움 - 보육교직원과의 관계","보육교사의 현재 어린이집 근무 어려움 - 개인적 문제","보육교사의 근무에 대한 의견 - 보육프로그램 변화 대응","보육교사의 근무에 대한 의견 - 다양한 연령 영유아 보육","보육교사의 근무에 대한 의견 - 보호자 신뢰","보육교사의 근무에 대한 의견 - 적절한 놀이지도 및 도움 제공","보육교사의 근무에 대한 의견 - 보육환경 준비","보육교사의 스트레스 - 높은 직무스트레스","보육교사의 스트레스 - 높은 업무 피로도","보육교사의 스트레스 - 신체적 피로","보육교사의 스트레스 - 낮은 업무 효능감","교사 지원 관련 의견 - 전문성 신장을 위한 지원","교사 지원 관련 의견 - 조언과 지원","교사 지원 관련 의견 - 대체교사 및 보조교사 배치","사직 또는 다른 어린이집으로의 이직 계획","사직 또는 이직을 고려하거나 계획하는 시기","사직 또는 이직 이유","이직을 원하는 어린이집 유형","보육정책 기본방향에 대한 동의 정도 - 보육은 공공서비스","보육정책 기본방향에 대한 동의 정도 - 어린이집은 지역사회에 대해 책무성을 지닌 기관","보육정책 기본방향에 대한 동의 정도 - 어린이집 회계는 투명하게 관리되어야","보육정책 기본방향에 대한 동의 정도 - 관할관청의 지도/감독은 철저하게 이루어져야","보육 수준 향상 정도 - 보육사업의 공공성","보육 수준 향상 정도 - 보육내용의 충실성","보육 수준 향상 정도 - 어린이집 재정운영 안정화","보육 수준 향상 정도 - 보육교사의 전문성","보육 정책 만족도 - 어린이집 평가인증제도","보육 정책 만족도 - 보육 전자행정시스템","보육 정책 만족도 - 아이행복 카드제","보육 정책 만족도 - 3-5세 누리과정","보육 정책 만족도 - 0-5세 보육료 전계층 지원","보육 정책 만족도 - 어린이집 미이용 아동 양육수당 지원","보육 정책 만족도 - 공공형/서울형 어린이집 제도","보육 정책 만족도 - 시간제 보육 사업","보육 정책 만족도 - 정보공시제","보육 정책 만족도 - 입소대기 관리 시스템","누리과정 연수 여부","누리과정 연수 형태(복수응답)","누리과정 연수 형태(복수응답)","누리과정 연수 형태(복수응답)","누리과정 연수 형태(복수응답)","연수기간 동안 대체인력 지원 여부","누리과정 도입에 따른 보육 서비스의 질 변화","누리과정 도입에 따른 보육교사의 업무량 변화","누리과정 도입에 따른 보육 프로그램 운영 변화","보육교사 성별","보육교사 연령","보육교사 결혼상태","보육교사 자녀 현황","보육교사 미취학자녀 여부","보육교사 미취학자녀 보육 형태","보육교사 최종학력","보육교사 최종학력 전공","보육교사 자격증(복수응답)","보육교사 자격증(복수응답)","보육교사 자격증(복수응답)","보육교사 자격증(복수응답)","보육교사 자격증(복수응답)","보육교사 자격증(복수응답)","보육교사 자격증(복수응답)","보육교사 자격증(복수응답)","보육교사 자격증(복수응답)","보육교사 자격증(복수응답)","보육교사 최초 자격취득 기관","보육교사 최초 자격취득 시 전공","학점은행제 수강 방법","다른 어린이집 근무 경험","급여 책정 시 기존 어린이집 경력 반영 여부","경력에 따른 급여상승 여부","교사의 총 어린이집 경력 - 년","교사의 총 어린이집 경력 - 개월","교사의 현 어린이집 근무 경력 - 년","교사의 현 어린이집 근무 경력 - 개월","이전 근무 어린이집 유형","호봉기준 급여 수급 여부","교사의 호봉","월 급여 내역 수급 여부","교사의 임금 월 지급액 - 기본급","교사의 어린이집 수당 월 지급액 - 시간외 수당","교사의 어린이집 수당 월 지급액 - 근속수당","교사의 어린이집 수당 월 지급액 - 직책수당","교사의 어린이집 수당 월 지급액 - 초과수당","교사의 어린이집 수당 월 지급액 - 연구수당","교사의 어린이집 수당 지급 주기 - 시간외 수당","교사의 어린이집 수당 지급 주기 - 근속수당","교사의 어린이집 수당 지급 주기 - 직책수당","교사의 어린이집 수당 지급 주기 - 초과수당","교사의 어린이집 수당 지급 주기 - 연구수당","교사의 정부 수당 월 지급액 - 누리과정","교사의 정부 수당 월 지급액 - 근무환경","교사의 정부 수당 월 지급액 - 농어촌","교사의 정부 수당 지급 주기 - 누리과정","교사의 정부 수당 지급 주기 - 근무환경","교사의 정부 수당 지급 주기 - 농어촌","교사의 지자체 수당 월 지급액 - 시도 처우","교사의 지자체 수당 월 지급액 - 시군구 처우","교사의 지자체 수당 월 지급액 - 영아전담수당","교사의 지자체 수당 월 지급액 - 근속수당","교사의 지자체 수당 지급 주기 - 시도 처우","교사의 지자체 수당 지급 주기 - 시군구 처우","교사의 지자체 수당 지급 주기 - 영아전담수당","교사의 지자체 수당 지급 주기 - 근속수당","교사의 비정기적 어린이집 수당 지급 횟수 - 명절수당","교사의 비정기적 어린이집 수당 지급 횟수 - 휴가수당","교사의 비정기적 어린이집 수당 지급 횟수 - 생일축하금","교사의 비정기적 어린이집 수당 지급 횟수 - 성과급","교사의 비정기적 어린이집 수당 지급 횟수 - 근속수당","교사의 비정기적 어린이집 수당 1회 지급액 - 명절수당","교사의 비정기적 어린이집 수당 1회 지급액 - 휴가수당","교사의 비정기적 어린이집 수당 1회 지급액 - 생일축하금","교사의 비정기적 어린이집 수당 1회 지급액 - 성과급","교사의 비정기적 어린이집 수당 1회 지급액 - 근속수당","교사의 비정기적 지자체 수당 지급 횟수 - 명절수당","교사의 비정기적 지자체 수당 지급 횟수 - 휴가수당","교사의 비정기적 지자체 수당 지급 횟수 - 근속수당","교사의 비정기적 지자체 수당 1회 지급액 - 명절수당","교사의 비정기적 지자체 수당 1회 지급액 - 휴가수당","교사의 비정기적 지자체 수당 1회 지급액 - 근속수당","교사의 한 달 평균 임금: 정기 수당 - 어린이집 수당","교사의 한 달 평균 임금: 정기 수당 - 정부 수당","교사의 한 달 평균 임금: 정기 수당 - 지자체 수당","교사의 한 달 평균 임금: 비정기 수당 - 어린이집 수당","교사의 한 달 평균 임금: 비정기 수당 - 지자체 수당","교사의 한 달 평균 임금: 전체 급여","근로소득 원천징수영수증 상 기재소득 - 근무처별 소득명세","근로소득 원천징수영수증 상 기재소득 - 비과세소득","보육교사 희망 임금","보육교사 조사 가중치"
1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,6,0,3,0,1,0,1,0,11,0,55,0,2,2,,,,,4,,,,,,,2,,10,0,3,1,1,2,,3,98,,,,,1,0,0,1,0,0,0,0,2,3,,,4,2,5,,2,2,2,2,2,2,2,1,2,2,2,2,2,1,1,2,1,1,4,4,3,3,3,3,3,3,3,5,,1,1,1,1,2,2,3,2,2,2,2,2,2,2,2,2,2,2,1,2,,,,4,1,2,2,1,26,1,,,,5,3,3,7,8,,,,,,,,3,3,,1,1,2,3,2,3,2,2,1,3,1,1600000,70000,,,,,1,,,,,300000,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0,300000,0,0,0,1900000,99999999,99999999,2500000,0.3487183326980568
1,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,6,0,1,0,0,30,0,0,7,30,37,30,1,2,1,,6,,1,3,4,5,,,,1,1,15,0,1,1,1,1,1,1,1,2,4,,,1,0,0,2,0,0,0,0,2,,,,2,2,1,,1,2,3,1,1,1,1,3,3,2,1,1,1,3,2,2,1,1,3,3,4,2,3,4,3,1,2,6,,2,1,1,1,2,2,2,3,3,2,2,2,2,1,3,2,2,1,,,,,,,,,,1,31,1,,,,5,2,1,2,6,,,,,,,,2,1,,1,1,1,11,0,6,9,4,1,11,1,1833420,,,50000,,,,,1,,,300000,,,1,,,195000,,,,1,,,,2,,,,,200000,,,,,,,,,,,50000,300000,0,200000,0,2183420,26147860,5040000,2500000,0.2324788884653712
1,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,9,0,1,8,0,0,30,0,30,0,0,9,0,46,30,1,2,1,,4,,1,4,,,,,,1,2,8,0,1,1,1,1,1,1,1,2,3,4,,1,0,2,0,0,0,0,4,1,,,,2,2,1,,2,3,3,1,2,3,3,2,3,2,2,1,3,1,1,2,1,2,3,3,3,2,2,2,2,5,,,,1,1,1,1,2,2,2,2,3,2,2,9,4,4,2,3,1,2,,,,,,,,,,1,53,1,,,,3,4,1,2,,,,,,,,,2,4,,1,1,2,20,0,10,7,4,1,12,1,2195000,50000,,,,,5,,,,,,170000,,,1,,150000,,,,1,,,,1,,,,,100000,,,,,,,,,,,50000,170000,150000,100000,0,2565000,23264760,0,3000000,0.3487183326980568
1,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,2,0,0,30,1,0,12,30,62,30,2,2,,,,,1,4,5,,,,,2,,7,0,1,1,1,1,1,1,1,2,3,4,,1,0,1,0,0,0,0,0,2,,,,4,2,2,,2,2,1,2,2,1,1,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,1,5,,,,1,1,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,,,,,,,,,,1,32,3,3,1,1,3,3,2,7,,,,,,,,,2,3,,1,1,1,5,0,0,4,2,1,6,1,1580000,,,,,,,,,,,,170000,110000,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,0,280000,0,0,0,1860000,99999999,99999999,2100000,0.1884416407184358
1,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,30,1,30,1,0,0,0,9,0,45,0,2,2,,,,,4,5,,,,,,2,,0,0,1,1,1,1,1,3,1,2,3,4,,2,,,,,,,,,,,,,,,,1,1,2,1,2,2,2,2,1,2,2,1,1,2,2,2,2,2,2,2,2,1,3,3,4,2,1,2,1,2,2,2,2,2,2,2,2,2,2,1,2,1,1,2,1,2,2,,,,,,,,,,1,39,2,2,1,1,3,3,1,2,3,7,,,,,,,1,4,,1,1,1,8,1,0,2,2,1,9,1,1999210,,,,,,,,,,,,170000,110000,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,0,280000,0,0,0,2279210,99999999,99999999,2500000,0.2826624610776537
1,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,30,1,30,1,10,1,10,14,20,71,40,1,2,2,,5,,3,5,,,,,,1,2,10,1,1,2,1,2,,3,1,,,,,2,,,,,,,,,,,,,,,,2,4,3,3,3,3,4,2,3,2,3,2,2,1,1,1,1,1,3,3,3,1,1,1,1,5,,,,1,1,1,1,3,3,3,4,4,3,2,4,3,4,4,2,2,2,,,,,,,,,,1,45,2,2,2,,3,2,1,2,6,,,,,,,,2,2,,1,1,1,22,1,3,6,1,1,22,1,2769250,180370,,,,,1,,,,,,170000,110000,,1,1,,,,,,,,,2,1,,,,500000,500000,,,,,,,,,,0,280000,0,1000000,0,3049250,31655640,0,3500000,0.1884416407184358
1,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,1,0,0,30,0,30,9,0,45,0,1,2,1,,8,,4,5,,,,,,1,2,15,0,1,1,1,1,1,1,98,,,,,1,0,0,0,0,0,1,22,1,,,,97,2,1,,1,2,2,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,3,3,3,5,,,,1,1,1,1,2,2,2,2,1,1,1,2,1,2,2,1,1,1,,,,,,,,,,1,47,2,2,2,,3,3,1,2,,,,,,,,,1,3,,1,1,1,8,0,4,0,1,1,7,1,1920000,,,,,,,,,,,,170000,,,1,,150000,,,,1,,,,2,,,,,50000,,,,,2,,,30000,,,0,170000,150000,50000,30000,2240000,99999999,99999999,2600000,0.6974366653961136
1,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,30,0,30,9,0,45,0,2,2,,,,,4,,,,,,,1,1,8,0,1,3,1,1,1,1,98,,,,,1,0,1,1,0,0,0,0,2,,,,3,1,2,,1,1,1,1,1,1,3,1,3,1,3,1,1,1,2,2,1,1,2,2,2,2,2,2,2,5,,,,2,3,1,1,2,2,1,1,4,3,2,2,4,3,3,3,3,3,,,,,,,,,,1,40,2,2,1,1,3,2,1,2,,,,,,,,,1,4,,1,1,1,8,3,8,0,4,1,9,1,1999220,71700,,70000,,,1,,1,,,,170000,,,1,,190000,,,,1,,,,2,,,,,100000,,,,,,,,,,,201700,170000,190000,100000,0,2560920,24603600,2240920,3000000,0.2324788884653712
1,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,20,0,40,9,0,45,0,2,2,,,,,4,5,,,,,,1,1,6,0,1,1,1,1,1,1,98,,,,,2,,,,,,,,,,,,,,,,2,2,2,2,2,3,2,2,2,2,3,2,2,2,2,2,2,2,2,2,3,2,2,3,1,5,,,,1,1,1,1,1,1,2,2,2,2,2,2,3,4,2,2,2,3,,,,,,,,,,1,39,2,2,2,,3,2,2,6,,,,,,,,,2,2,,1,1,1,9,0,1,5,6,1,9,1,1999210,28690,,50000,,,1,,1,,,,170000,,,1,,150000,,,,1,,,,1,,,,,100000,,,,,2,,,30000,,,50000,170000,0,100000,30000,2219210,19994000,0,2500000,0.4649577769307425
1,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,2,0,0,15,0,0,11,15,60,0,1,2,1,,7,,5,,,,,,,1,97,6,0,3,3,1,1,1,1,98,,,,,1,4,1,0,0,0,0,0,2,,,,97,3,,3,3,2,4,4,4,2,4,2,2,2,2,4,2,2,3,2,2,2,4,4,4,3,1,2,1,4,1,8,3,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,1,40,2,0,,,3,3,3,7,,,,,,,,,2,3,,2,,1,2,6,2,6,,1,3,1,1613720,120000,,,,,2,,,,,,170000,110000,,1,1,80000,30000,,,1,1,,,2,,,,,75000,,,,,,,,,,,0,280000,0,75000,0,1893720,17981460,0,2800000,0.1884416407184358
1,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,10,0,50,0,2,2,,,,,1,4,5,,,,,2,,6,3,1,1,1,1,1,1,98,,,,,1,3,1,0,0,0,0,0,3,,,,4,2,2,,2,2,2,2,2,2,2,2,3,2,2,3,2,3,3,2,2,2,3,3,3,3,2,2,2,5,,,,2,2,2,2,3,3,3,3,4,3,2,3,2,2,2,3,3,3,,,,,,,,,,1,36,2,1,2,,3,2,1,2,6,,,,,,,,2,2,,1,1,1,11,0,8,0,8,1,10,1,2056790,,,,,,,,,,,,170000,110000,,1,1,40000,,,,1,,,,,,,,,,,,,,,,,,,,0,280000,0,0,0,2336790,24681480,0,2500000,0.2826624610776537
1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,30,2,0,0,10,0,20,9,0,45,0,2,2,,,,,4,,,,,,,3,,13,0,1,1,1,1,1,1,98,,,,,1,6,1,0,0,0,0,0,1,3,,,1,2,2,,1,2,3,1,1,3,2,2,2,1,3,2,2,1,3,1,2,2,2,2,2,2,4,3,2,5,,,,1,1,1,2,2,2,3,2,2,1,2,2,2,1,1,2,1,2,,,,,,,,,,1,51,2,2,2,,4,8,1,2,6,,,,,,,,3,2,,1,1,1,1,10,0,9,5,1,2,1,1565430,,,70000,,,,,1,,,,170000,,,1,,150000,,,,1,,,,2,,1,,,50000,,50000,,,,,,,,,100000,170000,0,150000,0,1835430,99999999,99999999,2200000,0.3487183326980568
1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,30,0,30,0,0,9,0,45,0,1,2,2,,4,,2,4,,,,,,3,,22,0,3,3,1,1,1,1,98,,,,,1,0,0,0,0,0,0,1,1,,,,3,3,,3,2,1,2,1,2,2,1,1,1,1,2,1,1,1,1,1,1,2,2,1,1,2,3,3,3,5,,,,1,1,1,1,2,2,1,2,1,1,1,2,2,3,2,2,2,1,,,,,,,,,,1,46,2,2,2,,1,,2,,,,,,,,,,1,,,1,1,1,9,9,7,9,6,1,10,1,2056000,,,50000,,,,,1,,,,170000,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,50000,170000,0,0,0,2276000,22982340,0,3000000,0.2324788884653712
