"일련번호","기관 유형","지역 크기","정원 규모","근무형태","담당 반","현재 담당하고 있는 반별 영유아 수(현원) - 0세","현재 담당하고 있는 반별 영유아 수(현원) - 1세","현재 담당하고 있는 반별 영유아 수(현원) - 2세","현재 담당하고 있는 반별 영유아 수(현원) - 0~1세","현재 담당하고 있는 반별 영유아 수(현원) - 1~2세","현재 담당하고 있는 반별 영유아 수(현원) - 3세","현재 담당하고 있는 반별 영유아 수(현원) - 2~3세","현재 담당하고 있는 반별 영유아 수(현원) - 4세","현재 담당하고 있는 반별 영유아 수(현원) - 5세","현재 담당하고 있는 반별 영유아 수(현원) - 3~5세","현재 담당하고 있는 반별 영유아 수(현원) - 장애아반","현재 담당하고 있는 반별 영유아 수(현원) - 누리장애아반","현재 담당하고 있는 반별 영유아 수(현원) - 시간제보육","현재 담당하고 있는 반별 영유아 수(현원) - 시간연장 아침보육","현재 담당하고 있는 반별 영유아 수(현원) - 시간연장 야간보육","현재 담당하고 있는 반별 영유아 수(현원) - 기타","1일 총 근로시간(분)","하루 기준 근무시간 - 보육시간(분)","하루 기준 근무시간 - 보육준비/기타 업무(분)","1일 총 휴게시간(분)","하루 기준 근무시간 - 점심식사(분)","하루 기준 근무시간 - 휴게시간(분)","1일 총 근로시간(분)-휴게시간포함","휴게시간 1 - 휴게 시작시간(시)","휴게시간 1 - 휴게 종료시간(시)","휴게시간 2 - 휴게 시작시간(시)","휴게시간 2 - 휴게 종료시간(시)","휴게시간 3 - 휴게 시작시간(시)","휴게시간 3 - 휴게 종료시간(시)","휴게장소(복수응답1)","휴게장소(복수응답2)","휴게장소(복수응답3)","휴게장소(복수응답4)","주당 당직 근로시간(분)","주당 총 근로시간(분)","토요일 근무 여부","일요일 근무 여부","공휴일 근무 여부","토요일 근무 횟수 - 개월","토요일 근무 횟수 - 회","일요일 근무 횟수 - 개월","일요일 근무 횟수 - 회","공휴일 근무 횟수 - 개월","공휴일 근무 횟수 - 회","보육교사를 위한 별도의 편의공간 및 시설(복수응답1)","보육교사를 위한 별도의 편의공간 및 시설(복수응답2)","보육교사를 위한 별도의 편의공간 및 시설(복수응답3)","보육교사를 위한 별도의 편의공간 및 시설(복수응답4)","보육교사를 위한 별도의 편의공간 및 시설(복수응답5)","보육교사를 위한 별도의 편의공간 및 시설(복수응답6)","보육교사를 위한 별도의 편의공간 및 시설(복수응답7)","초과근무 및 시간외 수당 지불 여부","초과근무 시 시간외 수당 지불 방식","2017년 동안 사용한 휴가 - 연월차 휴가","2017년 동안 사용한 휴가 - 기타","산전·후 휴가 이용 가능 여부","육아휴직 이용 가능 여부","임신기/육아기 단축근무 이용 가능 여부","육아기 단축근무 이용 여부","육아기 단축근무 주당 이용시간","어린이집 임용 시 복무규정 내용 안내 여부","근로계약서 작성 여부","근로계약서 작성 시 임금, 근로시간, 기타 근로조건 등 기재 여부","최저임금법 규정 적용 여부","보수교육 경험 여부(2017년)","보수교육별 교육 현황 및 횟수 - 기본교육","보수교육별 교육 현황 및 횟수 - 심화교육","보수교육별 교육 현황 및 횟수 - 영아 보육","보수교육별 교육 현황 및 횟수 - 장애아 보육","보수교육별 교육 현황 및 횟수 - 방과후 보육","보수교육별 교육 현황 및 횟수 - 2급 보육교사","보수교육별 교육 현황 및 횟수 - 1급 보육교사","보수교육별 교육 현황 및 횟수 - 원장 사전직무교육","보수교육별 교육 현황 및 횟수 - 기타1","보수교육별 교육 현황 및 횟수 - 기타2","보수교육별 교육 현황 및 횟수 - 기타3","보수교육별 교육 현황 및 횟수 - 기타1 횟수","보수교육별 교육 현황 및 횟수 - 기타2 횟수","보수교육별 교육 현황 및 횟수 - 기타3 횟수","보수교육 형태(복수응답1)","보수교육 형태(복수응답2)","보수교육 형태(복수응답3)","보수교육 형태(복수응답4)","보수교육 형태(복수응답5)","보육교사의 현재 근무하는 어린이집 근무 만족도 - 일에 대한 보람","보육교사의 현재 근무하는 어린이집 근무 만족도 - 급여 수준","보육교사의 현재 근무하는 어린이집 근무 만족도 - 근무환경(전반)","보육교사의 현재 근무하는 어린이집 근무 만족도 - 물리적 환경(공간)","보육교사의 현재 근무하는 어린이집 근무 만족도 - 인적 환경(관계)","보육교사의 현재 근무하는 어린이집 근무 만족도 - 근로시간","보육교사의 현재 근무하는 어린이집 근무 만족도 - 보육교사에 대한 사회적 인식","보육교사의 현재 어린이집 근무 어려움 - 담당 영유아와의 상호작용","보육교사의 현재 어린이집 근무 어려움 - 담당 영유아 부모와의 관계","보육교사의 현재 어린이집 근무 어려움 - 보육프로그램 운영","보육교사의 현재 어린이집 근무 어려움 - 행정/사무 등의 업무 처리","보육교사의 현재 어린이집 근무 어려움 - 보육교직원과의 관계","보육교사의 현재 어린이집 근무 어려움 - 원장과의 관계","보육교사의 현재 어린이집 근무 어려움 - 개인적 문제","보육교사의 근무에 대한 의견 - 보육프로그램 변화 대응","보육교사의 근무에 대한 의견 - 다양한 연령 영유아 보육","보육교사의 근무에 대한 의견 - 보호자 신뢰","보육교사의 근무에 대한 의견 - 적절한 놀이지도 및 도움 제공","보육교사의 근무에 대한 의견 - 보육환경 준비","보육교사의 스트레스 - 높은 직무 스트레스","보육교사의 스트레스 - 높은 업무 피로도","보육교사의 스트레스 - 우울함","보육교사의 스트레스 - 정신적 스트레스","보육교사의 스트레스 - 신체적 피로","보육교사의 스트레스 - 분노조절 어려움","교사 지원 관련 의견 - 전문성 신장을 위한 지원","교사 지원 관련 의견 - 조언과 지원","교사 지원 관련 의견 - 대체교사 및 보조교사 배치","사직 또는 다른 어린이집으로의 이직 계획","사직 또는 이직을 고려하거나 계획하는 시기","사직 또는 이직 이유","이직을 원하는 어린이집 유형","보육정책 만족도 - 어린이집 평가인증제도","보육정책 만족도 - 보육통합정보시스템","보육정책 만족도 - 아이행복 카드제","보육정책 만족도 - 3-5세 누리과정","보육정책 만족도 - 0-5세 보육료 전계층 지원","보육정책 만족도 - 어린이집 미이용 아동 양육수당 지원","보육정책 만족도 - 시간제보육 사업","보육정책 만족도 - 정보공시제","보육정책 만족도 - 맞춤형보육제도","보육정책 만족도 - 입소대기 관리 시스템","보육정책 만족도 - 어린이집 CCTV 설치 의무화","보육정책 만족도 - 보육교사 휴게시간 보장","보육정책 만족도 - 어린이집 보조교사 배치 확대","보육정책 만족도 - 대체교사 지원","보육정책 만족도 - 긴급보육바우처 사용","누리과정 운영에 도움이 된 사항","누리과정 운영 역량을 높이기 위해 필요한 지원","보육교사 성별","보육교사 연령","보육교사 결혼상태","보육교사 자녀 현황","보육교사 미취학자녀 여부","보육교사 미취학자녀 보육 형태","보육교사 최종학력","보육교사 최종학력 전공","보육교사 자격증(복수응답1)","보육교사 자격증(복수응답2)","보육교사 자격증(복수응답3)","보육교사 자격증(복수응답4)","보육교사 자격증(복수응답5)","보육교사 자격증(복수응답6)","보육교사 자격증(복수응답7)","보육교사 자격증(복수응답8)","보육교사 자격증(복수응답9)","보육교사 자격증(복수응답10)","보육교사 자격증(복수응답11)","보육교사 자격증(복수응답12)","보육교사 자격증(복수응답13)","보육교사 자격증(복수응답14)","보육교사 자격증(복수응답15)","보육교사 최초 자격취득 기관","보육교사 최초 취득한 자격 유형","보육교사 학점은행제 수강 방법","보육교사 최초 자격 취득 시 학력","보육교사 최초 자격 취득 시 전공","다른 어린이집 근무 경험","급여 책정 시 기존 어린이집 경력 반영 여부","이전 근무 어린이집 유형","경력에 따른 급여상승 여부","보육교사 총 어린이집 근무 경력 - 년","보육교사 총 어린이집 근무 경력 - 개월","보육교사 현 어린이집 근무 경력 - 년","보육교사 현 어린이집 근무 경력 - 개월","보육교사 기타 보육관련 근무 경력 - 년","보육교사 기타 보육관련 근무 경력 - 개월","보육교사 유치원 근무 경력 - 년","보육교사 유치원 근무 경력 - 개월","호봉기준 급여 수급 여부","보육교사의 호봉","월 급여 내역 수급 여부","보육교사의 임금 월 지급액 - 기본급","보육교사의 어린이집 수당 월 지급액 - 시간외 수당","보육교사의 어린이집 수당 월 지급액 - 기타1","보육교사의 어린이집 수당 월 지급액 - 기타2","보육교사의 어린이집 수당 월 지급액 - 기타3","보육교사의 정부 수당 월 지급액 - 누리과정","보육교사의 정부 수당 월 지급액 - 근무환경","보육교사의 정부 수당 월 지급액 - 농어촌","보육교사의 지자체 수당 월 지급액 - 시도 처우","보육교사의 지자체 수당 월 지급액 - 시군구 처우","보육교사의 지자체 수당 월 지급액 - 기타1","보육교사의 지자체 수당 월 지급액 - 기타2","보육교사 임금 총액","보육교사의 어린이집 수당 월 지급액 - 기타1(내용)","보육교사의 어린이집 수당 월 지급액 - 기타2(내용)","보육교사의 어린이집 수당 월 지급액 - 기타3(내용)","보육교사의 지자체 수당 월 지급액 - 기타1(내용)","보육교사의 지자체 수당 월 지급액 - 기타2(내용)","보육교사의 비정기적 어린이집 수당1 -  수령 내역","보육교사의 비정기적 어린이집 수당2 -  수령 내역","보육교사의 비정기적 어린이집 수당3 -  수령 내역","보육교사의 비정기적 어린이집 수당1 -  수령 횟수","보육교사의 비정기적 어린이집 수당2 -  수령 횟수","보육교사의 비정기적 어린이집 수당3 -  수령 횟수","보육교사의 비정기적 어린이집 수당1 -  1회 평균 수령액","보육교사의 비정기적 어린이집 수당2 -  1회 평균 수령액","보육교사의 비정기적 어린이집 수당3 -  1회 평균 수령액","보육교사의 비정기적 지자체 수당1 -  수령 내역","보육교사의 비정기적 지자체 수당2 -  수령 내역","보육교사의 비정기적 지자체 수당3 -  수령 내역","보육교사의 비정기적 지자체 수당1 -  수령 횟수","보육교사의 비정기적 지자체 수당2 -  수령 횟수","보육교사의 비정기적 지자체 수당3 -  수령 횟수","보육교사의 비정기적 지자체 수당1 -  1회 평균 수령액","보육교사의 비정기적 지자체 수당2 -  1회 평균 수령액","보육교사의 비정기적 지자체 수당3 -  1회 평균 수령액","보육교사 조사 가중치","기관유형별","지역크기(소재지)","정원규모별","담당반","휴게시간 1 평균시간","휴게시간 2 평균시간","휴게시간 3 평균시간","휴게시간 분할사용 비율","0세","1세","2세","0~1세 혼합반","1~2세 혼합반","3세","2~3세 혼합반","4세","5세","3~5세 혼합반","장애아반","누리장애아반","시간제보육","시간연장 아침보육","시간연장 야간보육","기타"
K00001,2,1,3,1,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,540,450,90,50,0,50,590,17,17.83,,,,,3,,,,180,3132,2,2,2,,,,,,,3,4,5,,,,,1,3,23,0,1,1,3,,,1,1,3,1,1,2,2,2,2,1,2,2,2,98,,,,,,2,3,,,2,4,4,4,4,4,4,1,1,3,1,2,1,1,1,4,4,4,3,3,1,1,1,4,3,2,4,4,3,5,,,,3,4,4,4,1,1,3,4,2,4,1,4,4,4,2,,,1,5,1,1,2,,5,5,3,4,8,,,,,,,,,,,,,2,3,,2,2,1,2,1,1,28,7,18,7,0,0,0,0,1,19,1,2790400,2,1,2,2,2,2,2,2,1,1,1,3405400,16,,,8,13,20,5,12,1,2,1,50000,50000,50000,98,,,,,,,,,0.3638001863909526,2,1,3,1,50,,,1,,,6,,,,,,,,,,,,,
K00002,1,1,3,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,490,450,40,43,6.5,36.5,533,,,,,,,3,,,,60,2726,2,2,2,,,,,,,2,3,4,5,,,,3,,10,0,1,1,3,,,1,1,3,1,1,2,2,1,2,2,2,2,2,99,,,,,,1,,,,2,3,3,3,3,4,3,3,2,2,2,2,2,2,2,3,2,3,3,3,2,2,2,2,2,2,3,4,4,5,,,,2,3,3,3,3,2,3,3,3,3,1,3,3,3,3,,,1,2,1,1,2,,3,2,4,,,,,,,,,,,,,,,2,2,,2,2,1,1,4,1,9,10,6,7,0,0,0,0,1,10,1,2230000,2,2,2,2,2,1,2,1,1,2,2,2670000,,,,,,24,5,150,1,2,1,100000,100000,60000,99,,,,,,,,,0.6470443755906837,1,1,3,1,,,,,,4,,,,,,,,,,,,,,
K00003,3,1,3,1,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,480,420,60,43,6.5,36.5,523,,,,,,,2,,,,120,2737,2,2,2,,,,,,,6,8,,,,,,1,2,11,0,1,1,3,,,1,1,3,1,1,2,2,2,2,2,2,1,2,98,,,,,,1,,,,2,3,3,3,3,4,3,2,3,2,2,3,4,2,3,3,3,3,4,3,3,4,2,3,3,2,3,3,2,5,,,,2,3,4,3,3,3,2,3,3,1,2,1,1,1,1,,,1,3,1,1,2,,6,2,4,5,11,,,,,,,,,,,,,3,2,,3,1,1,1,4,1,1,6,1,6,0,0,4,10,1,7,1,2070000,2,1,2,2,2,1,2,2,1,2,2,2550000,16,,,,,68,28,24,12,12,2,50000,40000,140000,98,,,,,,,,,0.2827361059223011,3,1,3,1,,,,,,,5,,,,,,,,,,,,,
K00004,1,1,2,1,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,480,360,120,43,6.5,36.5,523,,,,,,,2,,,,120,2736.6,2,2,2,,,,,,,1,2,3,4,5,6,,1,2,13,0,1,1,1,2,,1,1,3,1,1,1,2,1,2,2,2,2,2,98,,,,,,1,,,,1,4,4,4,3,4,3,4,1,2,1,3,2,2,2,4,4,4,4,4,1,1,1,1,1,1,4,4,4,5,,,,3,4,4,4,4,3,3,3,3,3,3,3,3,3,3,,,1,3,1,1,2,,3,2,4,5,,,,,,,,,,,,,,2,2,,2,2,1,1,4,2,5,10,2,10,0,0,0,0,1,5,1,1850000,2,1,2,2,2,1,2,2,1,2,2,2470000,35,,,,,5,12,20,2,2,1,100000,100000,100000,98,,,,,,,,,0.6242807984215346,1,1,2,1,,,,,,5,,,,,,,,,,,,,,
K00005,1,1,4,1,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,480,390,90,43,6.5,36.5,523,,,,,,,3,,,,60,2676,2,2,2,,,,,,,3,4,5,,,,,1,1,10,0,3,3,3,,,1,1,3,1,1,2,2,2,1,2,2,2,2,98,,,,,,3,,,,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,3,4,3,3,3,2,2,3,3,3,2,4,4,4,5,,,,2,4,4,4,2,2,3,4,4,3,3,2,3,3,3,5,4,1,1,2,1,2,,5,9,4,12,14,,,,,,,,,,,,,3,1,,3,9,1,1,1,1,6,4,3,4,3,0,0,0,1,7,1,2077000,1,1,1,2,1,2,2,1,1,2,2,2750240,16,121,,,,5,12,20,2,1,1,100000,100000,50000,19,,,2,,,50000,,,0.6393809834673411,1,1,4,3,,,,,,,,,,,,,,,,3,,,,
K00006,1,1,2,1,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,480,450,30,43,6.5,36.5,523,,,,,,,5,,,,120,2736.6,2,2,2,,,,,,,8,,,,,,,1,2,10,0,1,3,3,,,1,1,3,1,1,2,2,2,2,2,2,1,2,98,,,,,,1,,,,3,3,2,3,3,4,3,1,3,2,3,4,2,3,3,3,3,3,4,3,3,4,2,3,3,2,3,3,1,1,2,9,,1,3,4,3,3,3,2,3,3,1,2,1,1,1,1,,,1,1,1,1,2,,3,1,4,5,11,,,,,,,,,,,,,5,2,1,2,1,1,1,1,1,4,4,4,4,0,0,0,0,1,5,1,1860000,2,2,1,2,2,1,2,2,1,2,2,2300000,,99,,,,98,,,,,,,,,98,,,,,,,,,0.6242807984215346,1,1,2,1,,,,,,,5,,,,,,,,,,,,,
K00007,1,1,3,1,2,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,480,480,0,43,6.5,36.5,523,,,,,,,2,,,,0,2616,2,2,2,,,,,,,1,3,4,,,,,1,1,10,0,1,1,1,2,,1,1,3,1,1,2,2,1,2,2,2,2,2,98,,,,,,1,,,,2,3,4,4,3,3,3,3,2,2,2,2,2,2,2,4,3,3,3,4,2,3,1,3,4,3,4,4,3,5,,,,2,4,4,3,4,3,4,4,4,3,3,2,3,3,3,5,3,1,1,2,1,2,,6,2,4,5,,,,,,,,,,,,,,3,2,,3,1,1,1,5,1,6,10,1,8,0,0,0,0,1,8,1,2110000,2,2,1,2,2,1,2,1,2,2,2,2540000,,22,,,,5,,,1,,,100000,,,98,,,,,,,,,0.6470443755906837,1,1,3,2,,,,,,,,,,,,,,18,,,,,,
K00008,6,1,3,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,480,420,60,43,6.5,36.5,523,,,,,,,2,,,,120,2737,2,2,2,,,,,,,1,6,,,,,,1,2,10,0,1,3,3,,,1,1,3,1,1,2,2,2,2,2,2,1,2,98,,,,,,1,,,,3,3,2,3,3,4,3,1,3,2,3,4,2,3,3,3,3,3,4,3,3,2,2,3,3,2,3,3,2,1,2,9,,1,3,4,3,3,3,2,3,3,1,2,2,1,1,1,,,1,1,1,1,2,,5,2,4,5,11,,,,,,,,,,,,,3,2,,3,2,1,1,1,1,3,7,2,5,0,0,0,0,1,4,1,1892300,2,1,1,2,2,1,2,2,1,2,2,2577300,16,35,,,,5,,,2,,,200000,,,98,,,,,,,,,0.3938522988087601,6,1,3,1,,,,,,4,,,,,,,,,,,,,,
K00009,6,1,2,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,540,510,30,43,6.5,36.5,583,,,,,,,1,,,,0,2917,2,2,2,,,,,,,1,4,5,6,,,,1,1,10,0,1,1,1,2,,1,1,3,1,1,2,2,1,2,2,2,2,2,98,,,,,,1,,,,2,3,4,3,3,3,4,3,2,2,2,2,2,2,2,4,3,3,3,4,2,3,1,3,4,1,4,4,3,5,,,,2,4,4,3,4,3,2,3,4,2,3,3,4,4,3,,,1,1,2,1,2,,5,1,4,5,,,,,,,,,,,,,,3,2,,3,1,1,1,5,1,5,2,5,2,0,0,0,0,1,6,1,1892390,2,1,1,2,2,1,2,2,1,2,2,2586190,99,99,,,,5,14,67,2,1,1,200000,105000,105000,98,,,,,,,,,0.3704087095939529,6,1,2,1,,,,,5,,,,,,,,,,,,,,,
K00010,6,1,4,1,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,540,510,30,60,0,60,600,13,14,,,,,2,,,,0,3002,2,2,1,,,,,12,1,1,2,4,5,6,,,1,1,16,1,1,1,1,2,,1,1,3,1,1,1,2,2,2,2,2,2,2,98,,,,,,1,,,,1,4,3,3,3,3,3,2,1,2,2,2,1,1,3,4,3,3,3,3,3,4,1,3,4,1,4,4,4,5,,,,1,4,3,4,4,4,1,4,3,1,3,3,1,4,2,,,1,1,1,1,2,,6,2,4,8,,,,,,,,,,,,,,3,2,,3,2,2,,,1,6,4,2,5,0,0,0,0,1,7,1,2077000,1,1,1,2,2,1,2,2,1,1,2,3030280,124,35,,13,,9,5,,2,2,,2077000,200000,,98,,,,,,,,,0.3885299704464795,6,1,4,1,60,,,1,,5,,,,,,,,,,,,,,
K00011,6,1,3,1,2,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,480,480,0,43,6.5,36.5,523,,,,,,,2,,,,0,2617,2,2,2,,,,,,,1,4,5,6,,,,1,1,10,0,1,1,1,2,,1,1,3,1,1,2,2,1,2,2,2,2,2,98,,,,,,1,,,,2,3,4,4,3,3,4,3,3,3,2,2,2,2,2,4,3,3,3,4,2,3,1,3,4,1,4,4,3,5,,,,2,4,4,3,3,4,3,2,4,4,4,2,3,4,4,,,1,1,2,1,2,,5,1,4,5,,,,,,,,,,,,,,3,2,,3,1,1,1,4,1,5,3,1,6,0,0,0,0,1,6,1,1990000,2,1,1,2,2,1,2,2,1,2,2,2650000,16,35,,,,5,,,3,,,100000,,,98,,,,,,,,,0.3938522988087601,6,1,3,2,,,,,,,10,,,,,,,,,,,,,
K00012,6,1,3,1,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,480,420,60,43,6.5,36.5,523,,,,,,,2,,,,120,2737,2,2,2,,,,,,,6,,,,,,,1,2,12,0,1,1,3,,,1,1,3,1,1,2,2,2,2,2,2,1,2,98,,,,,,1,,,,3,3,2,3,3,4,3,1,3,2,3,4,2,3,3,3,3,3,4,3,3,4,2,3,3,2,3,3,2,5,,,,1,3,4,3,3,3,3,2,3,3,3,2,1,1,1,,,1,1,1,1,2,,5,1,4,5,11,,,,,,,,,,,,,3,2,,3,1,1,1,4,1,6,0,4,0,0,0,0,0,1,9,1,1890000,2,1,2,2,2,1,2,2,1,2,2,2460000,16,,,,,16,5,14,12,2,1,400000,100000,100000,98,,,,,,,,,0.3938522988087601,6,1,3,1,,,,,,,6,,,,,,,,,,,,,
